Month,customerId,totalAmountIn,totalAmountOut,balance
1,3267545362089699840,5810.070083618164,8408.219985961914,-2598.14990234375
1,3267883853977446400,2298.8800048828125,3892.4900512695312,-1593.6100463867188
1,3268002700137508864,7986.789985656738,4915.940011501312,3070.849974155426
1,3268639482986340352,4318.169921875,10209.759979248047,-5891.590057373047
1,3269080210508875776,13414.149932861328,3153.5200481414795,10260.629884719849
1,3269149478247735808,3128.0499877929688,0,3128.0499877929688
1,3269996641790709760,6794.179962158203,9249.390045166016,-2455.2100830078125
1,3270795451414028288,3868.809959411621,2937.8999938964844,930.9099655151367
1,3271227775961271296,1529.1599731445312,3942.240001678467,-2413.0800285339355
1,3274707258478936576,1797.499984741211,6602.459991455078,-4804.960006713867
1,3275759567981191168,10374.289916992188,8402.549926757812,1971.739990234375
1,3276885577105093120,17936.63006591797,5952.389984130859,11984.24008178711
1,3277693895621089792,8358.679971694946,10852.420196533203,-2493.740224838257
1,3277916083340628992,5485.960021972656,3560.5499572753906,1925.4100646972656
1,3278475993018021376,7087.330017089844,9119.429946899414,-2032.0999298095703
1,3278524239627328512,1094.6599884033203,0,1094.6599884033203
1,3279267367951531520,7543.550062179565,9770.719848632812,-2227.169786453247
1,3280924615106997760,6104.5799560546875,2579.7999725341797,3524.779983520508
1,3282731304796105728,7302.0899658203125,7022.8699951171875,279.219970703125
1,3286459996770233344,10002.020080566406,10712.389892578125,-710.3698120117188
1,3286974389426242048,923.3099975585938,3788.610107421875,-2865.3001098632812
1,3287048089873719808,2930.0499267578125,887.739990234375,2042.3099365234375
1,3287462475144515072,2434.0500717163086,3240.159912109375,-806.1098403930664
1,3287830764476260864,11870.999984741211,7852.949951171875,4018.050033569336
1,3287925697458826240,6889.010059356689,7658.619873046875,-769.6098136901855
1,3288282958329796096,6346.5299072265625,10154.490020751953,-3807.9601135253906
1,3289606026796430336,0,4635.830078125,-4635.830078125
1,3291128188003780096,7274.309906005859,3248.909957885742,4025.399948120117
1,3291904748810503168,5492.720062255859,4879.50984954834,613.2102127075195
1,3294150452972822528,5058.830078125,3471.0799865722656,1587.7500915527344
1,3296722900818828800,7513.429992675781,9795.190002441406,-2281.760009765625
1,3296971939370546688,4442.899963378906,8328.849925041199,-3885.9499616622925
1,3298198175222315008,7436.669952392578,10559.420104980469,-3122.7501525878906
1,3298480087289318912,6702.890098571777,10090.919949531555,-3388.029850959778
1,3298740548606219264,0,622.1599731445312,-622.1599731445312
1,3300653241845481984,0,1914.0699462890625,-1914.0699462890625
1,3301752394239243264,1668.0400390625,2602.6400756835938,-934.6000366210938
1,3302480523678557696,3689.750045776367,8657.090003967285,-4967.339958190918
1,3303673996115203584,7549.809906005859,3158.3399658203125,4391.469940185547
1,3303755547599868416,8735.509887695312,7176.989990234375,1558.5198974609375
1,3307591505944113152,6522.539978027344,8372.279985427856,-1849.7400074005127
1,3308270653382513664,5336.1500244140625,2807.120086669922,2529.0299377441406
1,3308513759842273792,11104.560005187988,3419.3800659179688,7685.1799392700195
1,3309268661878629376,2261.2499084472656,4253.169982910156,-1991.9200744628906
1,3309354133231508480,10414.889921188354,5451.540048599243,4963.349872589111
1,3310585464525548032,6207.080047607422,4254.0400390625,1953.0400085449219
1,3310875887664333824,6716.339893341064,8466.549892425537,-1750.2099990844727
1,3312495227284971008,0,1866.489990234375,-1866.489990234375
1,3313537729477434368,3356.2098999023438,4721.960021972656,-1365.7501220703125
1,3313712508306768896,8206.270057201385,9665.430053710938,-1459.159996509552
1,3313865171846899712,3309.5899658203125,9896.76001739502,-6587.170051574707
1,3314321884470354432,7007.039962768555,3240.429977416992,3766.6099853515625
1,3315742454860263424,3089.7000732421875,2525.4000244140625,564.300048828125
1,3317414868650935808,1767.1700439453125,0,1767.1700439453125
1,3317559334838617600,3122.1299743652344,0,3122.1299743652344
1,3318732667697996800,5557.329895019531,2727.4899291992188,2829.8399658203125
1,3320987582560185344,1853.8699951171875,4372.4400634765625,-2518.570068359375
1,3322429938321653248,5783.590019226074,5215.719970703125,567.8700485229492
1,3323569578018829312,6266.269878387451,10099.190002441406,-3832.920124053955
1,3324001632348604928,10295.890075683594,13974.010116577148,-3678.1200408935547
1,3325241734544803840,8045.860015869141,12041.209991455078,-3995.3499755859375
1,3325859935211670528,9275.13003540039,1922.2500324249268,7352.880002975464
1,3328014204644352512,9415.500030517578,9465.280059814453,-49.780029296875
1,3328964100222169600,10353.050170898438,15249.149780273438,-4896.099609375
1,3329088828425277952,6767.1800537109375,3788.2700805664062,2978.9099731445312
1,3329397842404705280,4421.350021362305,4871.830108642578,-450.48008728027344
1,3330820743022222336,8275.360063552856,6963.52001953125,1311.8400440216064
1,3332676959577553920,5379.049911499023,5694.399963378906,-315.3500518798828
1,3332741894426068480,9351.630065917969,967.5999755859375,8384.030090332031
1,3335462000348141056,9631.109954833984,4467.880096435547,5163.2298583984375
1,3336349514162838528,7144.309997558594,7784.060119628906,-639.7501220703125
1,3338223655138573824,6496.930084228516,1436.6800537109375,5060.250030517578
1,3339474208083918336,7302.969940185547,3900.2301063537598,3402.739833831787
1,3340401807867709440,3580.449951171875,1221.4600524902344,2358.9898986816406
1,3341741017064176128,132.97000122070312,2892.990020751953,-2760.02001953125
1,3342524645247686656,3875.2499599456787,18168.560165405273,-14293.310205459595
1,3344897367675334144,5223.5400390625,6610.930145263672,-1387.3901062011719
1,3345476476969109504,2910.179962158203,4621.35009765625,-1711.1701354980469
1,3345920830086061056,894.9499740600586,1618.06005859375,-723.1100845336914
1,3347333826595109888,2861.9300537109375,10873.879943847656,-8011.949890136719
1,3352977113843842560,2411.9199829101562,557.4199829101562,1854.5
1,3353197265926793728,8729.439971923828,322.0199890136719,8407.419982910156
1,3353298136449632256,6362.5999755859375,3300.260009765625,3062.3399658203125
1,3353667715718996992,2054.5899658203125,0,2054.5899658203125
1,3353947344146294784,5180.4500732421875,5417.760040283203,-237.30996704101562
1,3354089258293300736,10824.21987915039,7373.290130615234,3450.9297485351562
1,3356023609810742272,9660.589851856232,6181.350006103516,3479.239845752716
1,3356694495374738944,12128.15015411377,4863.760009765625,7264.3901443481445
1,3357142392504939520,5208.68994140625,3987.400115966797,1221.2898254394531
1,3359902982785001984,6797.0699462890625,5104.150093078613,1692.9198532104492
1,3360717418007886336,1505.050048828125,0,1505.050048828125
1,3362696084061553152,8866.290069580078,7073.510055541992,1792.780014038086
1,3362931672972551168,1869.0800170898438,162.07000732421875,1707.010009765625
1,3363942156615838720,781.9900074005127,923.9299926757812,-141.93998527526855
1,3364125044023225344,869.5299835205078,1773.7099609375,-904.1799774169922
1,3366140100358909952,4841.319931030273,9700.610168457031,-4859.290237426758
1,3367464651116957696,40.400001525878906,3462.3699951171875,-3421.9699935913086
1,3367924941864445952,1343.7999877929688,886.1500196456909,457.64996814727783
1,3373120741742232576,284.57000732421875,0,284.57000732421875
1,3373899189422337536,12918.099975585938,7074.030181884766,5844.069793701172
1,3376691719113562624,1348.1700592041016,4234.979949951172,-2886.8098907470703
1,3376743632612474880,4487.490013122559,1751.0899963378906,2736.400016784668
1,3377241169388234240,9369.910064697266,5705.949920654297,3663.9601440429688
1,3378803110046141952,9003.830017089844,4060.62003326416,4943.209983825684
1,3379038574819414016,2343.3600463867188,4307.6500244140625,-1964.2899780273438
1,3379103001902389248,9565.8198928833,9444.379980444908,121.43991243839264
1,3381234492417934336,13856.390167236328,8453.690002441406,5402.700164794922
1,3381865857888660480,4069.860076904297,6513.640106201172,-2443.780029296875
1,3383034241234768384,4861.1199951171875,550.719970703125,4310.4000244140625
1,3384169953523769856,515.52001953125,1311.8699951171875,-796.3499755859375
1,3385066241881316352,5890.159851074219,1798.439956665039,4091.7198944091797
1,3385486796714385408,1858.3200378417969,4511.160003662109,-2652.8399658203125
1,3386106642733065216,0,5254.159942626953,-5254.159942626953
1,3387978898290046464,5232.739981651306,9201.439952373505,-3968.6999707221985
1,3388886235615838208,2683.930061340332,4434.380065917969,-1750.4500045776367
1,3389933598735079424,4397.1500244140625,2246.280059814453,2150.8699645996094
1,3391304306886230528,4414.970031738281,5924.05993270874,-1509.089900970459
1,3391543664778285568,459.32000732421875,572.9000244140625,-113.58001708984375
1,3392692191954663936,0,718.27001953125,-718.27001953125
1,3394497006993826816,4297.4400634765625,10024.93994140625,-5727.4998779296875
1,3394701126074106880,1296.9600524902344,1021.7300243377686,275.2300281524658
1,3395224727939972096,4821.260040283203,186.58999633789062,4634.6700439453125
1,3395958364210879488,1487.3399658203125,2499.3799781799316,-1012.0400123596191
1,3396866846546702848,4898.489974975586,5736.7301025390625,-838.2401275634766
1,3398115582836582400,626.0599746704102,1784.06005859375,-1158.0000839233398
1,3398881749835956224,10318.659888744354,10384.970016479492,-66.31012773513794
1,3398962986773137920,616.9400024414062,1003.4399871826172,-386.49998474121094
1,3399008898331235328,2414.2899780273438,2330.7500534057617,83.53992462158203
1,3399368655915363840,1721.7299499511719,3093.310028076172,-1371.580078125
1,3399413968938289152,7103.709991455078,6865.09001159668,238.61997985839844
1,3400407496661060096,8112.8800048828125,6048.9898681640625,2063.89013671875
1,3401963777864371200,11396.529907226562,5277.980010986328,6118.549896240234
1,3402266400260993024,0,156.3800048828125,-156.3800048828125
1,3402450288394783232,0,726.0499877929688,-726.0499877929688
1,2956937189349312512,451.260009765625,2377.970016479492,-1926.7100067138672
1,2956990648965507072,10215.880149841309,8960.98989868164,1254.890251159668
1,2958409611868406272,1394.7799453735352,11565.880004882812,-10171.100059509277
1,2958741354405858816,7336.429992675781,6585.949981689453,750.4800109863281
1,2961523640056542208,13186.960026741028,7141.590057373047,6045.369969367981
1,2962833558102742528,268.3900146484375,0,268.3900146484375
1,2964446443243488256,12180.130020141602,7383.939918518066,4796.190101623535
1,2964668150107572224,1861.1099853515625,0,1861.1099853515625
1,2966010164810677760,11093.650024414062,17196.659965515137,-6103.009941101074
1,2967100471065748480,8117.059997558594,3359.280029296875,4757.779968261719
1,2967571915344002048,1312.699951171875,0,1312.699951171875
1,2967717325104197120,2614.5599975585938,5585.410003662109,-2970.8500061035156
1,2968623606598049280,9775.740112304688,6224.799880981445,3550.940231323242
1,2971720626694873600,5237.1400146484375,3600.300018310547,1636.8399963378906
1,2971946875851236352,2074.7900390625,0,2074.7900390625
1,2972876703301672448,16493.01993370056,4472.359909057617,12020.660024642944
1,2973800890239093760,3524.0399780273438,4813.460006713867,-1289.4200286865234
1,2973832275428792832,3846.9899291992188,10093.640045166016,-6246.650115966797
1,2974762819136549888,2841.8199768066406,9479.999969482422,-6638.179992675781
1,2975660949572449280,3447.630027770996,4776.150085449219,-1328.5200576782227
1,2975661893894195712,3269.780029296875,6272.940078735352,-3003.1600494384766
1,2975781268755792896,2029.8200302124023,5099.670059204102,-3069.850028991699
1,2976421599181690368,10675.540075302124,5558.619956970215,5116.920118331909
1,2976662188544303104,1483.3599853515625,1320.6500244140625,162.7099609375
1,2977467584006539776,1812.0999603271484,7098.9899978637695,-5286.890037536621
1,2978350068216797696,1361.6399688720703,5454.120056152344,-4092.4800872802734
1,2979606454729306112,3815.589984893799,8854.380126953125,-5038.790142059326
1,2979789831861299200,13609.819946289062,8454.230010986328,5155.589935302734
1,2980648610511027712,14164.630004882812,6632.209930419922,7532.420074462891
1,2981477414415720960,4480.1000328063965,6168.549896240234,-1688.449863433838
1,2981819060957614080,1164.499984741211,3921.8399925231934,-2757.3400077819824
1,2982374205823089664,7768.859977722168,7534.02001953125,234.83995819091797
1,2983835076006133248,1103.0999755859375,1661.5599670410156,-558.4599914550781
1,2984126702144679936,6082.880126953125,3340.530029296875,2742.35009765625
1,2984128945879762432,7516.489974975586,5508.2698974609375,2008.2200775146484
1,2984224151166026240,3539.0299377441406,8247.909942626953,-4708.8800048828125
1,2984532839596684800,2121.959991455078,0,2121.959991455078
1,2984996936636537856,4066.8999938964844,8643.159973144531,-4576.259979248047
1,2985170732599074304,3488.6699829101562,3883.2100219726562,-394.5400390625
1,2988160796303428096,4841.75993347168,4141.749973297119,700.0099601745605
1,2988633265570839552,7057.410003662109,5951.649948120117,1105.7600555419922
1,2989348435829961728,7560.899993896484,2288.719985961914,5272.18000793457
1,2990846702594259968,4911.179992675781,6418.469970703125,-1507.2899780273438
1,2991323356101905408,7734.619983673096,4326.160003662109,3408.4599800109863
1,2992475386427095552,7950.659851074219,3839.2799682617188,4111.3798828125
1,2993322245666515456,11692.369934082031,10698.189979553223,994.1799545288086
1,2993440922645739008,4894.890037536621,3053.8499755859375,1841.0400619506836
1,2993570225550639104,14159.050018310547,6424.980087280273,7734.069931030273
1,2993686865552684544,6099.370101928711,2288.7999572753906,3810.5701446533203
1,2994547374450025472,4574.769989013672,362.5199890136719,4212.25
1,2995538735838851072,8755.96012878418,3924.3800536990166,4831.580075085163
1,2999145583435655168,0,1640.8899536132812,-1640.8899536132812
1,2999939603728868864,4274.279968261719,8362.809997558594,-4088.530029296875
1,3000184021260206080,5526.9399766922,7054.889953613281,-1527.9499769210815
1,3000886059584771584,10045.220092773438,2634.8900756835938,7410.330017089844
1,3001067623021463040,4337.00994682312,3172.260040283203,1164.749906539917
1,3001558560058970624,4909.960021972656,985.7899780273438,3924.1700439453125
1,3001600924611763712,1398.800048828125,956.27001953125,442.530029296875
1,3003529563626411520,6342.269927978516,5516.649963378906,825.6199645996094
1,3004443816969990144,5813.839935302734,11545.24008178711,-5731.400146484375
1,3006240514190966784,8131.429962158203,0,8131.429962158203
1,3006967889327229952,4936.8299560546875,2630.0599365234375,2306.77001953125
1,3009605207537187840,3126.6000061035156,2396.0400581359863,730.5599479675293
1,3010024888646986240,9068.690002441406,3634.81005859375,5433.879943847656
1,3010790563572980224,3765.760009765625,0,3765.760009765625
1,3011336565283073024,2211.8699798583984,10750.7899684906,-8538.919988632202
1,3012882008475926016,2021.2899780273438,3873.0999755859375,-1851.8099975585938
1,3013312387466315264,2617.019973754883,210.1300048828125,2406.8899688720703
1,3013398601256287744,2641.2999267578125,4229.799987792969,-1588.5000610351562
1,3013825401143207936,7979.690137863159,5729,2250.690137863159
1,3014117465203454976,2270.3900299072266,7013.719970703125,-4743.329940795898
1,3015394643396690432,11043.210010528564,9547.64990234375,1495.5601081848145
1,3015475479012606464,4358.9500732421875,2510.659942626953,1848.2901306152344
1,3015655583436174336,6304.099990844727,12380.210140228271,-6076.110149383545
1,3017070671323374080,3303.280029296875,1347.7500305175781,1955.5299987792969
1,3017835955844255232,5460.249923706055,7702.219947814941,-2241.9700241088867
1,3018182952896584192,769.6800155639648,488.75000762939453,280.9300079345703
1,3018871424834173440,6586.2200927734375,2710.22998046875,3875.9901123046875
1,3019894189070388224,341.2300109863281,1989.77001953125,-1648.5400085449219
1,3020573999823029760,5286.2200927734375,6850.659915924072,-1564.4398231506348
1,3020673696487323648,5720.910057067871,11359.88996887207,-5638.979911804199
1,3020854176385757184,0,1097.75,-1097.75
1,3020929936833970688,6483.749969482422,7866.6600341796875,-1382.9100646972656
1,3023506872268265984,7703.769924163818,10110.280090332031,-2406.510166168213
1,3024019373045068800,12960.639907836914,6508.610076904297,6452.029830932617
1,3027573338128603136,3267.050048828125,2203.989990234375,1063.06005859375
1,3029379815082587648,9740.890075683594,12326.979946136475,-2586.089870452881
1,3029489219445621248,10272.930156707764,10710.879974365234,-437.9498176574707
1,3029789778318371840,10161.839990615845,8605.140014648438,1556.6999759674072
1,3029983181746211328,8649.67007446289,7111.170166015625,1538.4999084472656
1,3030492746357244928,1137.489990234375,901.6100232601166,235.87996697425842
1,3031176930851285504,1544.8300170898438,1449.75,95.08001708984375
1,3031250786699914752,6693.780029296875,8405.999868869781,-1712.2198395729065
1,3031252702941816832,1636.72998046875,1724.1199951171875,-87.3900146484375
1,3031471600610539008,2341.1799926757812,2017.0900268554688,324.0899658203125
1,3032209494889898496,4232.889953613281,9862.970031738281,-5630.080078125
1,3032651068184565760,9217.419921875,11439.589965820312,-2222.1700439453125
